event_id,module(equipment),start_datetime,end_datetime,point_count,duration_seconds,minimum_powerfactor,average_powerfactor,iqr_detected,ewma_detected,if_detected,max_model_agreement
EWMA-000050,15(예비건조기),2024-12-01 05:27:50,2024-12-01 05:27:50,1,5,67.08666,67.08666,1,1,1,3
EWMA-000051,15(예비건조기),2024-12-01 05:30:55,2024-12-01 05:30:55,1,5,72.4,72.4,0,1,0,1
EWMA-000052,15(예비건조기),2024-12-01 05:35:45,2024-12-01 05:35:45,1,5,66.30666,66.30666,1,1,0,2
EWMA-000053,15(예비건조기),2024-12-01 05:40:35,2024-12-01 05:40:35,1,5,69.71667,69.71667,1,1,1,3
EWMA-000054,15(예비건조기),2024-12-01 05:48:40,2024-12-01 05:48:40,1,5,66.07667,66.07667,1,1,0,2
EWMA-000055,15(예비건조기),2024-12-01 05:50:15,2024-12-01 05:50:15,1,5,66.51666,66.51666,1,1,1,3
EWMA-000056,15(예비건조기),2024-12-01 05:52:20,2024-12-01 05:52:20,1,5,68.19334,68.19334,1,1,1,3
EWMA-000057,15(예비건조기),2024-12-01 05:53:45,2024-12-01 05:53:45,1,5,67.43667,67.43667,1,1,1,3
EWMA-000058,15(예비건조기),2024-12-01 06:04:25,2024-12-01 06:04:25,1,5,68.16,68.16,1,1,1,3
EWMA-000059,15(예비건조기),2024-12-01 06:05:50,2024-12-01 06:05:50,1,5,68.46333,68.46333,1,1,1,3
EWMA-000060,15(예비건조기),2024-12-01 06:20:20,2024-12-01 06:20:20,1,5,63.563335,63.563335,1,1,1,3
EWMA-000061,15(예비건조기),2024-12-01 06:21:55,2024-12-01 06:21:55,1,5,66.549995,66.549995,1,1,1,3
EWMA-000062,15(예비건조기),2024-12-01 06:30:05,2024-12-01 06:30:05,1,5,65.78,65.78,1,1,1,3
EWMA-000063,15(예비건조기),2024-12-01 06:31:30,2024-12-01 06:31:30,1,5,70.333336,70.333336,0,1,0,1
EWMA-000064,15(예비건조기),2024-12-01 06:40:30,2024-12-01 06:40:30,1,5,70.833336,70.833336,1,1,0,2
EWMA-000065,15(예비건조기),2024-12-01 06:48:35,2024-12-01 06:48:35,1,5,66.69,66.69,1,1,1,3
EWMA-000066,15(예비건조기),2024-12-01 06:49:30,2024-12-01 06:49:30,1,5,70.52,70.52,1,1,1,3
EWMA-000067,15(예비건조기),2024-12-01 06:50:25,2024-12-01 06:50:25,1,5,69.26666,69.26666,1,1,1,3
EWMA-000068,15(예비건조기),2024-12-01 06:58:10,2024-12-01 06:58:10,1,5,67.43,67.43,1,1,1,3
EWMA-000069,15(예비건조기),2024-12-01 07:21:45,2024-12-01 07:21:45,1,5,64.40667,64.40667,1,1,1,3
EWMA-000070,15(예비건조기),2024-12-01 07:57:10,2024-12-01 07:57:10,1,5,65.333336,65.333336,1,1,0,2
EWMA-000071,15(예비건조기),2024-12-01 08:00:20,2024-12-01 08:00:20,1,5,64.736664,64.736664,1,1,0,2
EWMA-000072,15(예비건조기),2024-12-01 08:05:15,2024-12-01 08:05:15,1,5,65.10333,65.10333,1,1,0,2
EWMA-000073,15(예비건조기),2024-12-01 08:06:05,2024-12-01 08:06:05,1,5,66.933334,66.933334,1,1,0,2
EWMA-000074,15(예비건조기),2024-12-01 08:26:25,2024-12-01 08:26:25,1,5,65.74333,65.74333,1,1,0,2
EWMA-000075,15(예비건조기),2024-12-01 08:43:20,2024-12-01 08:43:20,1,5,66.28667,66.28667,1,1,1,3
EWMA-000076,15(예비건조기),2024-12-01 08:51:25,2024-12-01 08:51:25,1,5,65.996666,65.996666,1,1,0,2
EWMA-000077,15(예비건조기),2024-12-01 09:06:10,2024-12-01 09:06:10,1,5,64.95333,64.95333,1,1,1,3
EWMA-000078,15(예비건조기),2024-12-01 09:07:10,2024-12-01 09:07:10,1,5,68.09667,68.09667,1,1,1,3
EWMA-000079,15(예비건조기),2024-12-01 09:10:30,2024-12-01 09:10:30,1,5,65.706665,65.706665,1,1,1,3
EWMA-000080,15(예비건조기),2024-12-01 09:22:00,2024-12-01 09:22:00,1,5,68.49,68.49,1,1,1,3
EWMA-000081,15(예비건조기),2024-12-01 09:31:35,2024-12-01 09:31:35,1,5,68.386665,68.386665,0,1,1,2
EWMA-000082,15(예비건조기),2024-12-01 10:09:20,2024-12-01 10:09:20,1,5,68.73333,68.73333,1,1,1,3
EWMA-000083,15(예비건조기),2024-12-01 10:14:20,2024-12-01 10:14:20,1,5,67.29667,67.29667,1,1,1,3
EWMA-000084,15(예비건조기),2024-12-01 10:26:45,2024-12-01 10:26:45,1,5,65.64333,65.64333,1,1,1,3
EWMA-000085,15(예비건조기),2024-12-01 10:37:20,2024-12-01 10:37:20,1,5,63.536663,63.536663,1,1,1,3
EWMA-000086,15(예비건조기),2024-12-01 10:39:15,2024-12-01 10:39:15,1,5,66.06,66.06,1,1,1,3
EWMA-000087,15(예비건조기),2024-12-01 10:44:55,2024-12-01 10:44:55,1,5,69.42999,69.42999,1,1,0,2
EWMA-000088,15(예비건조기),2024-12-01 10:48:35,2024-12-01 10:48:35,1,5,68.39667,68.39667,1,1,1,3
EWMA-000089,15(예비건조기),2024-12-01 10:52:25,2024-12-01 10:52:25,1,5,68.78,68.78,1,1,1,3
EWMA-000090,15(예비건조기),2024-12-01 11:29:40,2024-12-01 11:29:40,1,5,65.49,65.49,1,1,1,3
EWMA-000091,15(예비건조기),2024-12-01 11:59:10,2024-12-01 11:59:10,1,5,69.21334,69.21334,0,1,0,1
EWMA-000092,15(예비건조기),2024-12-01 12:03:05,2024-12-01 12:03:05,1,5,66.42667,66.42667,1,1,1,3
EWMA-000093,15(예비건조기),2024-12-01 12:11:00,2024-12-01 12:11:00,1,5,68.23,68.23,1,1,0,2
EWMA-000094,15(예비건조기),2024-12-01 12:22:35,2024-12-01 12:22:35,1,5,68.05334,68.05334,1,1,1,3
EWMA-000095,15(예비건조기),2024-12-01 12:22:45,2024-12-01 12:22:45,1,5,62.61,62.61,1,1,0,2
EWMA-000096,15(예비건조기),2024-12-01 12:30:10,2024-12-01 12:30:10,1,5,68.753334,68.753334,1,1,1,3
EWMA-000097,15(예비건조기),2024-12-01 12:32:10,2024-12-01 12:32:10,1,5,66.01,66.01,1,1,1,3
EWMA-000098,15(예비건조기),2024-12-01 12:38:00,2024-12-01 12:38:00,1,5,70.276665,70.276665,0,1,1,2
EWMA-000099,15(예비건조기),2024-12-01 12:54:20,2024-12-01 12:54:20,1,5,66.34667,66.34667,1,1,1,3
EWMA-000100,15(예비건조기),2024-12-01 12:56:20,2024-12-01 12:56:20,1,5,68.299995,68.299995,0,1,1,2
EWMA-000101,15(예비건조기),2024-12-01 13:12:40,2024-12-01 13:12:40,1,5,65.76666,65.76666,1,1,0,2
EWMA-000102,15(예비건조기),2024-12-01 13:37:25,2024-12-01 13:37:25,1,5,67.19666,67.19666,1,1,1,3
EWMA-000103,15(예비건조기),2024-12-01 14:01:20,2024-12-01 14:01:20,1,5,68.55334,68.55334,1,1,1,3
EWMA-000104,15(예비건조기),2024-12-01 14:03:55,2024-12-01 14:03:55,1,5,69.973335,69.973335,0,1,0,1
EWMA-000105,15(예비건조기),2024-12-01 14:10:15,2024-12-01 14:10:15,1,5,64.81,64.81,1,1,1,3
EWMA-000106,15(예비건조기),2024-12-01 14:15:40,2024-12-01 14:15:40,1,5,67.46667,67.46667,1,1,1,3
EWMA-000107,15(예비건조기),2024-12-01 14:25:55,2024-12-01 14:25:55,1,5,66.20333,66.20333,1,1,1,3
EWMA-000108,15(예비건조기),2024-12-01 14:28:55,2024-12-01 14:28:55,1,5,64.61,64.61,1,1,1,3
EWMA-000109,15(예비건조기),2024-12-01 14:31:00,2024-12-01 14:31:00,1,5,72.12667,72.12667,0,1,0,1
EWMA-000110,15(예비건조기),2024-12-01 14:46:15,2024-12-01 14:46:15,1,5,67.15667,67.15667,0,1,1,2
EWMA-000111,15(예비건조기),2024-12-01 15:05:50,2024-12-01 15:05:50,1,5,64.65333,64.65333,1,1,1,3
EWMA-000112,15(예비건조기),2024-12-01 15:08:05,2024-12-01 15:08:05,1,5,63.563335,63.563335,1,1,1,3
EWMA-000113,15(예비건조기),2024-12-01 15:11:30,2024-12-01 15:11:30,1,5,68.34333,68.34333,1,1,0,2
EWMA-000114,15(예비건조기),2024-12-01 15:22:15,2024-12-01 15:22:15,1,5,72.043335,72.043335,0,1,0,1
EWMA-000115,15(예비건조기),2024-12-01 15:23:35,2024-12-01 15:23:35,1,5,67.28333,67.28333,1,1,0,2
EWMA-000116,15(예비건조기),2024-12-01 15:34:50,2024-12-01 15:34:50,1,5,69.2,69.2,0,1,1,2
EWMA-000117,15(예비건조기),2024-12-01 15:46:10,2024-12-01 15:46:10,1,5,69.22,69.22,1,1,1,3
EWMA-000118,15(예비건조기),2024-12-01 16:20:10,2024-12-01 16:20:10,1,5,68.85667,68.85667,1,1,1,3
EWMA-000119,15(예비건조기),2024-12-01 16:33:55,2024-12-01 16:33:55,1,5,67.98,67.98,1,1,1,3
EWMA-000120,15(예비건조기),2024-12-01 16:49:45,2024-12-01 16:49:45,1,5,66.44666,66.44666,1,1,1,3
EWMA-000121,15(예비건조기),2024-12-01 16:58:10,2024-12-01 16:58:10,1,5,69.02333,69.02333,1,1,1,3
EWMA-000122,15(예비건조기),2024-12-01 17:08:45,2024-12-01 17:08:45,1,5,68.94666,68.94666,1,1,0,2
EWMA-000123,15(예비건조기),2024-12-01 17:10:55,2024-12-01 17:10:55,1,5,67.21333,67.21333,1,1,1,3
EWMA-000124,15(예비건조기),2024-12-01 17:13:00,2024-12-01 17:13:00,1,5,67.02,67.02,1,1,1,3
EWMA-000125,15(예비건조기),2024-12-01 17:25:05,2024-12-01 17:25:05,1,5,68.66334,68.66334,1,1,0,2
EWMA-000126,15(예비건조기),2024-12-01 17:29:10,2024-12-01 17:29:10,1,5,68.84333,68.84333,1,1,0,2
EWMA-000127,15(예비건조기),2024-12-01 17:35:55,2024-12-01 17:35:55,1,5,66.04333,66.04333,1,1,1,3
EWMA-000128,15(예비건조기),2024-12-01 17:43:35,2024-12-01 17:43:35,1,5,69.51667,69.51667,1,1,0,2
EWMA-000129,15(예비건조기),2024-12-01 17:47:30,2024-12-01 17:47:30,1,5,66.89667,66.89667,1,1,0,2
EWMA-000130,15(예비건조기),2024-12-01 17:51:40,2024-12-01 17:51:40,1,5,66.70333,66.70333,1,1,1,3
EWMA-000131,15(예비건조기),2024-12-01 18:13:40,2024-12-01 18:13:40,1,5,69.40333,69.40333,0,1,0,1
EWMA-000132,15(예비건조기),2024-12-01 18:14:15,2024-12-01 18:14:15,1,5,67.903336,67.903336,1,1,1,3
EWMA-000133,15(예비건조기),2024-12-01 18:18:55,2024-12-01 18:18:55,1,5,69.87667,69.87667,1,1,0,2
EWMA-000134,15(예비건조기),2024-12-01 18:20:20,2024-12-01 18:20:20,1,5,73.33001,73.33001,0,1,0,1
EWMA-000135,15(예비건조기),2024-12-01 18:21:55,2024-12-01 18:21:55,1,5,62.186665,62.186665,1,1,1,3
EWMA-000136,15(예비건조기),2024-12-01 18:24:30,2024-12-01 18:24:30,1,5,63.396667,63.396667,1,1,1,3
EWMA-000137,15(예비건조기),2024-12-01 18:29:05,2024-12-01 18:29:05,1,5,67.13,67.13,1,1,1,3
EWMA-000138,15(예비건조기),2024-12-01 18:43:35,2024-12-01 18:43:35,1,5,68.12,68.12,1,1,0,2
EWMA-000139,15(예비건조기),2024-12-01 19:07:40,2024-12-01 19:07:40,1,5,66.450005,66.450005,1,1,1,3
EWMA-000140,15(예비건조기),2024-12-01 19:15:35,2024-12-01 19:15:35,1,5,72.97,72.97,0,1,0,1
